epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.3638,0.87386,3.76527,1.21352,0.03124,0.7662,0.1376,0.11352,0.80508,3.09477,1.16918,0.00017231,0.00017231,0.00017231
2,137.077,0.73349,2.61245,1.08974,0.31283,0.45705,0.3489,0.29092,0.74849,1.91503,1.09393,0.000336171,0.000336171,0.000336171
3,204.765,0.73193,2.1725,1.07807,0.40318,0.52558,0.454,0.36482,0.77184,1.71863,1.1162,0.000488461,0.000488461,0.000488461
4,270.617,0.72694,1.81937,1.05847,0.69514,0.5453,0.64664,0.54187,0.72167,1.40463,1.07017,0.000473926,0.000473926,0.000473926
5,336.082,0.68103,1.53311,1.04004,0.77059,0.61262,0.71176,0.58615,0.72661,1.24055,1.07984,0.000456568,0.000456568,0.000456568
6,402.855,0.66842,1.33294,1.0271,0.74482,0.70138,0.77571,0.64469,0.70672,1.05618,1.05413,0.00043921,0.00043921,0.00043921
7,469.018,0.65575,1.22642,1.0237,0.89096,0.73852,0.84893,0.71519,0.68832,0.77786,1.03126,0.000421852,0.000421852,0.000421852
8,535.429,0.64392,1.10884,1.01496,0.90728,0.74912,0.86315,0.72353,0.69238,0.73923,1.02354,0.000404494,0.000404494,0.000404494
9,601.127,0.64304,1.03757,1.01799,0.86398,0.76542,0.84192,0.70768,0.68124,0.76679,1.02366,0.000387136,0.000387136,0.000387136
10,667.65,0.63576,0.9918,1.00955,0.92748,0.79941,0.8955,0.74798,0.66519,0.63081,1.00511,0.000369778,0.000369778,0.000369778
11,733.873,0.61431,0.93051,1.00097,0.90943,0.79782,0.88502,0.7409,0.67871,0.62987,1.02538,0.00035242,0.00035242,0.00035242
12,800.36,0.61048,0.89318,0.99982,0.91421,0.82124,0.90122,0.76123,0.65837,0.58231,1.01134,0.000335062,0.000335062,0.000335062
13,867.291,0.60936,0.84878,0.99656,0.90229,0.82076,0.89891,0.7628,0.63455,0.57945,0.99187,0.000317704,0.000317704,0.000317704
14,932.955,0.58578,0.82285,0.98622,0.90973,0.82815,0.90735,0.76826,0.63563,0.55493,0.98759,0.000300346,0.000300346,0.000300346
15,998.788,0.58668,0.79298,0.98507,0.91798,0.838,0.91223,0.76653,0.63664,0.53938,0.99531,0.000282988,0.000282988,0.000282988
16,1064.38,0.57706,0.75927,0.98291,0.92876,0.83712,0.92417,0.78729,0.62187,0.49884,0.98152,0.00026563,0.00026563,0.00026563
17,1129.69,0.57052,0.73121,0.97579,0.93499,0.84964,0.9284,0.7875,0.61618,0.50243,0.96885,0.000248272,0.000248272,0.000248272
18,1195.73,0.56091,0.7268,0.97158,0.9271,0.8528,0.93117,0.78931,0.60628,0.50227,0.96413,0.000230914,0.000230914,0.000230914
19,1261.97,0.5588,0.6998,0.96823,0.9002,0.88052,0.93475,0.79138,0.61346,0.47448,0.96837,0.000213556,0.000213556,0.000213556
20,1326.7,0.54925,0.6846,0.97088,0.94945,0.85796,0.94072,0.80756,0.59566,0.44742,0.95629,0.000196198,0.000196198,0.000196198
21,1393.92,0.55512,0.5101,0.94878,0.93766,0.8645,0.94436,0.80298,0.5951,0.44759,0.96181,0.00017884,0.00017884,0.00017884
22,1455.75,0.54605,0.48078,0.9342,0.94336,0.87021,0.93937,0.8024,0.59019,0.43767,0.95487,0.000161482,0.000161482,0.000161482
23,1517.74,0.54002,0.46052,0.93667,0.93828,0.88158,0.94871,0.80913,0.58746,0.4116,0.96016,0.000144124,0.000144124,0.000144124
24,1580.94,0.5368,0.43652,0.92643,0.92692,0.90185,0.94861,0.81252,0.58854,0.41509,0.95633,0.000126766,0.000126766,0.000126766
25,1642.49,0.52283,0.42069,0.92787,0.95398,0.88203,0.94705,0.81497,0.58349,0.4025,0.94687,0.000109408,0.000109408,0.000109408
26,1703.94,0.51694,0.41281,0.91814,0.95329,0.89839,0.95544,0.82258,0.57838,0.38582,0.94686,9.205e-05,9.205e-05,9.205e-05
27,1766.64,0.5095,0.39251,0.91584,0.95838,0.88752,0.95094,0.82164,0.57863,0.37537,0.9437,7.4692e-05,7.4692e-05,7.4692e-05
28,1828.71,0.50303,0.38371,0.91233,0.94581,0.8871,0.95512,0.82403,0.57263,0.37425,0.94373,5.7334e-05,5.7334e-05,5.7334e-05
29,1890.45,0.49568,0.37253,0.91284,0.95118,0.89596,0.95595,0.8274,0.57109,0.36868,0.94116,3.9976e-05,3.9976e-05,3.9976e-05
30,1951.69,0.49066,0.36206,0.90277,0.95457,0.89863,0.95714,0.82742,0.56294,0.35915,0.93913,2.2618e-05,2.2618e-05,2.2618e-05
